year,AverageTemperature
1900-01-01,18.86027916666667
1901-01-01,18.744460833333335
1902-01-01,18.78806
1903-01-01,18.574871666666667
1904-01-01,18.339621666666666
1905-01-01,18.453006666666667
1906-01-01,18.5845525
1907-01-01,18.311078333333334
1908-01-01,18.428549999999998
1909-01-01,18.475870833333335
1910-01-01,18.399354166666665
1911-01-01,18.455724166666666
1912-01-01,18.499176666666667
1913-01-01,18.566866666666666
1914-01-01,18.843843333333336
1915-01-01,18.84971
1916-01-01,18.599710833333333
1917-01-01,
1918-01-01,18.4901825
1919-01-01,18.76481916666667
1920-01-01,18.69816416666667
1921-01-01,18.8038625
1922-01-01,18.7443375
1923-01-01,18.656429166666666
1924-01-01,18.68272166666667
1925-01-01,18.65626333333333
1926-01-01,18.80662166666667
1927-01-01,18.81636
1928-01-01,18.9076975
1929-01-01,18.6982425
1930-01-01,18.917603333333332
1931-01-01,18.89849333333333
1932-01-01,18.915589166666667
1933-01-01,18.600475
1934-01-01,18.751050833333334
1935-01-01,18.84492416666667
1936-01-01,18.752038333333335
1937-01-01,18.955430833333335
1938-01-01,18.986128333333333
1939-01-01,18.9937175
1940-01-01,18.882960833333332
1941-01-01,19.188982499999998
1942-01-01,18.96886
1943-01-01,18.854368333333333
1944-01-01,18.901619166666666
1945-01-01,18.784205833333335
1946-01-01,19.1328125
1947-01-01,18.969314999999998
1948-01-01,19.02407583333333
1949-01-01,19.01068
1950-01-01,18.784645833333332
1951-01-01,18.9967925
1952-01-01,19.068606666666668
1953-01-01,19.1350375
1954-01-01,18.862685833333334
1955-01-01,18.95087416666667
1956-01-01,18.480925833333334
1957-01-01,18.8578975
1958-01-01,19.193795833333336
1959-01-01,19.13737
1960-01-01,19.144858333333335
1961-01-01,19.14502166666667
1962-01-01,18.94944166666667
1963-01-01,18.996930833333334
1964-01-01,18.806191666666667
1965-01-01,18.852835833333334
1966-01-01,19.178754166666668
1967-01-01,18.794326666666667
1968-01-01,18.817781666666665
1969-01-01,18.960338333333336
1970-01-01,18.9659575
1971-01-01,18.777898333333333
1972-01-01,18.932126666666665
1973-01-01,19.206823333333332
1974-01-01,18.837208333333333
1975-01-01,18.99177
1976-01-01,18.690833333333334
1977-01-01,19.14536916666667
1978-01-01,18.9816575
1979-01-01,19.2348825
1980-01-01,19.068540833333333
1981-01-01,19.115568333333332
1982-01-01,19.068149166666668
1983-01-01,19.1975725
1984-01-01,18.960731666666668
1985-01-01,18.997135833333335
1986-01-01,19.044755833333333
1987-01-01,19.408555833333335
1988-01-01,19.3520425
1989-01-01,19.227380833333335
1990-01-01,19.509549166666666
1991-01-01,19.271515
1992-01-01,19.091054166666666
1993-01-01,19.178233333333335
1994-01-01,19.4729025
1995-01-01,19.439888333333332
1996-01-01,19.171846666666667
1997-01-01,19.3501625
1998-01-01,19.946030833333335
1999-01-01,19.698959166666665
2000-01-01,19.506243333333334
2001-01-01,19.679351666666665
2002-01-01,19.855685
2003-01-01,19.630196666666667
2004-01-01,19.672204166666667
2005-01-01,19.607239166666666
2006-01-01,19.793993333333336
2007-01-01,19.854270000000003
2008-01-01,19.608778333333333
2009-01-01,19.833751666666668
2010-01-01,19.911734166666665
2011-01-01,19.549196666666667
2012-01-01,19.668239166666666
2013-01-01,20.179645079365077
